# sent_id = 2011Tekhnologii.xml_15

# text = В результате мы стремительно бежим вперед, разбрасывая по дороге очень ценные и нужные вещи.

1	В	-	ADP
2	результате	-	NOUN
3	мы	-	PRON
4	стремительно	-	ADV
5	бежим	-	VERB
6	вперед	-	ADV
7	,	-	PUNCT
8	разбрасывая	-	VERB
9	по	-	ADP
10	дороге	-	NOUN
11	очень	-	ADV
12	ценные	-	ADJ
13	и	-	CCONJ
14	нужные	-	ADJ
15	вещи	-	NOUN
16	.	-	PUNCT


# sent_id = 2011Tekhnologii.xml_16

# text = И в какой-то момент понимаем, что остаемся без них, как без рук.

1	И	-	CCONJ
2	в	-	ADP
3	какой-то	-	DET
4	момент	-	NOUN
5	понимаем	-	VERB
6	,	-	PUNCT
7	что	-	SCONJ
8	остаемся	-	VERB
9	без	-	ADP
10	них	-	PRON
11	,	-	PUNCT
12	как	-	SCONJ
13	без	-	ADP
14	рук	-	NOUN
15	.	-	PUNCT


# sent_id = 2011Tekhnologii.xml_17

# text = Да, я говорю не о банальной ностальгии, а именно о практической нехватке того, чем мы привыкли забивать, в лучшем случае, чердаки, а в худшем - помойки.

1	Да	-	PART
2	,	-	PUNCT
3	я	-	PRON
4	говорю	-	VERB
5	не	-	PART
6	о	-	ADP
7	банальной	-	ADJ
8	ностальгии	-	NOUN
9	,	-	PUNCT
10	а	-	CCONJ
11	именно	-	PART
12	о	-	ADP
13	практической	-	ADJ
14	нехватке	-	NOUN
15	того	-	PRON
16	,	-	PUNCT
17	чем	-	SCONJ
18	мы	-	PRON
19	привыкли	-	VERB
20	забивать	-	VERB
21	,	-	PUNCT
22	в	-	ADP
23	лучшем	-	ADJ
24	случае	-	NOUN
25	,	-	PUNCT
26	чердаки	-	NOUN
27	,	-	PUNCT
28	а	-	CCONJ
29	в	-	ADP
30	худшем	-	ADJ
31	-	-	NOUN
32	помойки	-	NOUN
33	.	-	PUNCT


# sent_id = 2011Tekhnologii.xml_18

# text = Вы еще помните, что такое диафильмы?

1	Вы	-	PRON
2	еще	-	ADV
3	помните	-	VERB
4	,	-	PUNCT
5	что	-	SCONJ
6	такое	-	DET
7	диафильмы	-	NOUN
8	?	-	PUNCT


# sent_id = 2011Tekhnologii.xml_19

# text = Вы не можете этого не помнить.

1	Вы	-	PRON
2	не	-	PART
3	можете	-	VERB
4	этого	-	DET
5	не	-	PART
6	помнить	-	VERB
7	.	-	PUNCT


# sent_id = 2011Tekhnologii.xml_20

# text = Это был целый ритуал: сначала мама вывешивает на стену простыню, потом открывает тяжелый проектор, затем вместе с ней вы продеваете пленку через все нужные пазухи и, наконец, вот она - волшебная картинка.

1	Это	-	PRON
2	был	-	AUX
3	целый	-	ADJ
4	ритуал	-	NOUN
5	:	-	PUNCT
6	сначала	-	ADV
7	мама	-	NOUN
8	вывешивает	-	VERB
9	на	-	ADP
10	стену	-	NOUN
11	простыню	-	NOUN
12	,	-	PUNCT
13	потом	-	ADV
14	открывает	-	VERB
15	тяжелый	-	ADJ
16	проектор	-	NOUN
17	,	-	PUNCT
18	затем	-	ADV
19	вместе	-	ADV
20	с	-	ADP
21	ней	-	PRON
22	вы	-	PRON
23	продеваете	-	VERB
24	пленку	-	NOUN
25	через	-	ADP
26	все	-	PRON
27	нужные	-	ADJ
28	пазухи	-	NOUN
29	и	-	CCONJ
30	,	-	PUNCT
31	наконец	-	ADV
32	,	-	PUNCT
33	вот	-	PART
34	она	-	PRON
35	-	-	NOUN
36	волшебная	-	ADJ
37	картинка	-	NOUN
38	.	-	PUNCT


# sent_id = 2011Tekhnologii.xml_21

# text = Одна, вторая третья.

1	Одна	-	DET
2	,	-	PUNCT
3	вторая	-	ADJ
4	третья	-	ADJ
5	.	-	PUNCT


# sent_id = 2011Tekhnologii.xml_22

# text = И мамин голос, который читает уже выученный вами наизусть текст.

1	И	-	CCONJ
2	мамин	-	ADJ
3	голос	-	NOUN
4	,	-	PUNCT
5	который	-	PRON
6	читает	-	VERB
7	уже	-	ADV
8	выученный	-	VERB
9	вами	-	PRON
10	наизусть	-	ADV
11	текст	-	NOUN
12	.	-	PUNCT


# sent_id = 2011Tekhnologii.xml_23

# text = Да, это не 3D, не компьютерная графика и даже не классический мультфильм.

1	Да	-	PART
2	,	-	PUNCT
3	это	-	DET
4	не	-	PART
5	3D	-	PROPN
6	,	-	PUNCT
7	не	-	PART
8	компьютерная	-	ADJ
9	графика	-	NOUN
10	и	-	CCONJ
11	даже	-	PART
12	не	-	PART
13	классический	-	ADJ
14	мультфильм	-	NOUN
15	.	-	PUNCT


# sent_id = 2011Tekhnologii.xml_24

# text = Это намного лучше.

1	Это	-	PRON
2	намного	-	ADV
3	лучше	-	ADJ
4	.	-	PUNCT


# sent_id = 2011Tekhnologii.xml_25

# text = Спросите у вашего детского психолога, и он подтвердит: диафильм - замечательное средство общения родителя с ребенком и мощное средство развития детского воображения.

1	Спросите	-	VERB
2	у	-	ADP
3	вашего	-	DET
4	детского	-	ADJ
5	психолога	-	NOUN
6	,	-	PUNCT
7	и	-	CCONJ
8	он	-	PRON
9	подтвердит	-	VERB
10	:	-	PUNCT
11	диафильм	-	NOUN
12	-	-	NOUN
13	замечательное	-	ADJ
14	средство	-	NOUN
15	общения	-	NOUN
16	родителя	-	NOUN
17	с	-	ADP
18	ребенком	-	NOUN
19	и	-	CCONJ
20	мощное	-	ADJ
21	средство	-	NOUN
22	развития	-	NOUN
23	детского	-	ADJ
24	воображения	-	NOUN
25	.	-	PUNCT


# sent_id = 2011Tekhnologii.xml_26

# text = Большинство современных мультиков отключают творческий аппарат, вынуждают сознание ребенка плыть по течению.

1	Большинство	-	NOUN
2	современных	-	ADJ
3	мультиков	-	NOUN
4	отключают	-	VERB
5	творческий	-	ADJ
6	аппарат	-	NOUN
7	,	-	PUNCT
8	вынуждают	-	VERB
9	сознание	-	NOUN
10	ребенка	-	NOUN
11	плыть	-	VERB
12	по	-	ADP
13	течению	-	NOUN
14	.	-	PUNCT


# sent_id = 2011Tekhnologii.xml_27

# text = Диафильм - совсем другое дело.

1	Диафильм	-	NOUN
2	-	-	NOUN
3	совсем	-	ADV
4	другое	-	ADJ
5	дело	-	NOUN
6	.	-	PUNCT


# sent_id = 2011Tekhnologii.xml_28

# text = Глядя на скромные картинки, ребенок оживляет их в своем воображении, домысливает ситуации, учится конструировать жизненные сюжеты и стратегии.

1	Глядя	-	VERB
2	на	-	ADP
3	скромные	-	ADJ
4	картинки	-	NOUN
5	,	-	PUNCT
6	ребенок	-	NOUN
7	оживляет	-	VERB
8	их	-	PRON
9	в	-	ADP
10	своем	-	DET
11	воображении	-	NOUN
12	,	-	PUNCT
13	домысливает	-	VERB
14	ситуации	-	NOUN
15	,	-	PUNCT
16	учится	-	VERB
17	конструировать	-	VERB
18	жизненные	-	ADJ
19	сюжеты	-	NOUN
20	и	-	CCONJ
21	стратегии	-	NOUN
22	.	-	PUNCT


# sent_id = 2011Tekhnologii.xml_29

# text = Или взять, например, стационарный телефон.

1	Или	-	CCONJ
2	взять	-	VERB
3	,	-	PUNCT
4	например	-	ADV
5	,	-	PUNCT
6	стационарный	-	ADJ
7	телефон	-	NOUN
8	.	-	PUNCT


# sent_id = 2011Tekhnologii.xml_30

# text = Дисковый и с трубой на проводе.

1	Дисковый	-	ADJ
2	и	-	CCONJ
3	с	-	ADP
4	трубой	-	NOUN
5	на	-	ADP
6	проводе	-	NOUN
7	.	-	PUNCT


# sent_id = 2011Tekhnologii.xml_31

# text = На мой взгляд, в домашних условиях он гораздо лучше мобильного и даже радиотелефона образца девяностых.

1	На	-	ADP
2	мой	-	DET
3	взгляд	-	NOUN
4	,	-	PUNCT
5	в	-	ADP
6	домашних	-	ADJ
7	условиях	-	NOUN
8	он	-	PRON
9	гораздо	-	ADV
10	лучше	-	ADJ
11	мобильного	-	ADJ
12	и	-	CCONJ
13	даже	-	PART
14	радиотелефона	-	NOUN
15	образца	-	NOUN
16	девяностых	-	ADJ
17	.	-	PUNCT


# sent_id = 2011Tekhnologii.xml_32

# text = Да, диском номер набирается дольше, но зато как успокаивает сам процесс!

1	Да	-	PART
2	,	-	PUNCT
3	диском	-	NOUN
4	номер	-	NOUN
5	набирается	-	VERB
6	дольше	-	ADJ
7	,	-	PUNCT
8	но	-	CCONJ
9	зато	-	CCONJ
10	как	-	SCONJ
11	успокаивает	-	VERB
12	сам	-	ADJ
13	процесс	-	NOUN
14	!	-	PUNCT


# sent_id = 2011Tekhnologii.xml_33

# text = Да, с пристегнутой к аппарату трубкой невозможно свободно перемещаться по квартире, зато это позволяет говорить меньше и концентрироваться на разговоре.

1	Да	-	PART
2	,	-	PUNCT
3	с	-	ADP
4	пристегнутой	-	VERB
5	к	-	ADP
6	аппарату	-	NOUN
7	трубкой	-	NOUN
8	невозможно	-	ADJ
9	свободно	-	ADV
10	перемещаться	-	VERB
11	по	-	ADP
12	квартире	-	NOUN
13	,	-	PUNCT
14	зато	-	CCONJ
15	это	-	DET
16	позволяет	-	VERB
17	говорить	-	VERB
18	меньше	-	NUM
19	и	-	CCONJ
20	концентрироваться	-	VERB
21	на	-	ADP
